<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20230103,000000,144.6900000,144.6900000,140.1800000,140.1800000,119
20230104,000000,140.0100000,140.2700000,140.0100000,140.1600000,72
20230105,000000,140.1000000,141.1500000,140.0800000,140.0800000,94
20230106,000000,140.2200000,140.2800000,140.0000000,140.2800000,34
20230109,000000,143.4000000,143.4000000,140.8100000,141.1000000,161
20230110,000000,140.7600000,142.9500000,140.7600000,141.1300000,73
20230111,000000,144.7800000,149.9600000,143.3100000,148.0500000,205
20230112,000000,149.9000000,151.7300000,147.7700000,148.0000000,238
20230113,000000,146.0200000,153.7000000,146.0200000,152.3200000,270
20230116,000000,150.2500000,155.9800000,150.2500000,151.8100000,233
20230117,000000,155.0000000,157.6300000,150.0000000,152.1300000,239
20230118,000000,148.3400000,152.2500000,148.3400000,152.2500000,121
20230119,000000,150.2800000,152.0000000,148.5500000,152.0000000,120
20230120,000000,151.1300000,152.0000000,147.8100000,151.6000000,104
20230123,000000,150.2500000,154.8500000,150.2300000,153.0000000,246
20230124,000000,155.0000000,155.0000000,151.5200000,153.7400000,132
20230125,000000,150.7800000,154.4700000,150.7800000,152.7700000,68
20230126,000000,151.5100000,154.4700000,151.1200000,154.2500000,132
20230127,000000,155.2400000,155.2400000,150.7900000,153.0000000,118
20230130,000000,151.2800000,153.8800000,151.2800000,153.4500000,55
20230131,000000,155.0000000,157.9800000,153.9000000,155.2200000,242
20230201,000000,155.7900000,159.3200000,155.7900000,158.6700000,189
20230202,000000,155.7500000,161.2400000,155.7500000,161.2400000,39
20230203,000000,157.7800000,161.7600000,157.7800000,161.7600000,317
20230206,000000,162.9800000,166.9900000,162.9800000,166.8900000,246
20230207,000000,164.5700000,166.3700000,163.4100000,164.9000000,242
20230208,000000,165.9800000,168.2100000,163.0000000,163.2600000,172
20230209,000000,163.5000000,165.9700000,161.1000000,165.9700000,204
20230210,000000,165.7800000,166.8300000,163.5200000,166.2500000,137
20230213,000000,168.8600000,168.8600000,164.0000000,164.6800000,154
20230214,000000,165.4300000,165.4300000,161.0000000,161.0000000,124
20230215,000000,158.2200000,159.0000000,155.1100000,156.0500000,171
20230216,000000,160.4500000,160.4500000,155.7100000,157.9900000,102
20230217,000000,150.0100000,160.5600000,150.0100000,159.9000000,97
20230220,000000,157.5500000,162.1200000,155.8100000,158.0000000,138
20230221,000000,164.2100000,164.9800000,160.4200000,160.5800000,157
20230222,000000,161.9000000,163.9900000,161.6500000,163.9900000,83
20230224,000000,161.2500000,165.5400000,161.2500000,163.9900000,87
20230227,000000,164.5000000,169.9900000,164.5000000,165.2700000,232
20230228,000000,163.5900000,173.0000000,163.5900000,168.0100000,157
20230301,000000,168.5000000,172.9900000,168.5000000,170.1700000,168
20230302,000000,169.6000000,169.6000000,167.0500000,169.4900000,107
20230303,000000,169.5400000,172.7100000,168.7200000,172.6000000,135
20230306,000000,170.1400000,172.7200000,169.5100000,169.5100000,121
20230307,000000,172.0900000,174.4900000,171.5700000,174.4900000,102
20230309,000000,173.5000000,173.9600000,172.0900000,172.0900000,180
20230310,000000,172.0000000,173.5400000,171.0600000,172.9900000,103
20230313,000000,171.4300000,173.6100000,170.0700000,173.6100000,95
20230314,000000,170.2600000,177.4500000,168.5000000,175.0000000,124
20230315,000000,177.0000000,177.0000000,172.9400000,175.3500000,92
20230316,000000,173.0200000,176.6700000,173.0200000,175.0000000,97
20230317,000000,177.8700000,194.4900000,177.8600000,190.5900000,492
20230320,000000,206.7700000,206.7700000,192.0100000,204.2300000,349
20230321,000000,205.0000000,207.9900000,198.2800000,203.7200000,350
20230322,000000,199.3300000,204.2200000,199.3300000,204.0700000,242
20230323,000000,205.9200000,205.9200000,200.1100000,202.8800000,139
20230324,000000,203.0000000,203.5000000,202.0400000,202.0400000,99
20230327,000000,201.5600000,212.0000000,201.5600000,212.0000000,187
20230328,000000,214.9900000,215.0000000,208.3700000,213.9400000,195
20230329,000000,220.0000000,220.0000000,211.5200000,218.0000000,278
20230330,000000,219.8800000,219.8800000,214.2900000,217.2900000,230
20230331,000000,213.1000000,218.5700000,210.4500000,218.5700000,147
